time,t2m_c_anom,tcc_anom,ssr_anom,str_nlw_anom,tisr_anom,tsr_anom,ttr_anom,number_anom,t2m_c_max_anom,t2m_c_min_anom,net_rad_anom,reflected_solar_anom
2024-05-09,-0.7875,-0.0629,1.4334,-0.0892,-0.3388,1.3256,-1.8793,0.0,-0.8585,-0.5578,1.3442,-1.6644
2024-05-10,-0.995,-0.0784,0.6805,0.1426,-0.276,0.7668,-0.9697,0.0,-1.1872,-0.7342,0.8232,-1.0428
2024-05-11,-0.9909,-0.1121,1.2823,0.0325,-0.2149,1.3463,-1.5924,0.0,-1.0633,-0.8367,1.3148,-1.5612
2024-05-12,-1.0068,-0.1091,1.0037,0.0588,-0.1556,1.0968,-1.2375,0.0,-1.0621,-0.9518,1.0625,-1.2525
2024-05-13,-0.6927,-0.0446,0.7323,-0.1732,-0.098,0.7057,-0.3231,0.0,-0.5185,-0.9149,0.5591,-0.8037
2024-05-14,-0.2242,-0.0641,1.4642,-0.3204,-0.0422,1.4582,-0.9535,0.0,-0.2212,-0.4043,1.1438,-1.5004
2024-05-15,0.1193,-0.0471,1.321,-0.0118,0.0121,1.4609,-0.3092,0.0,0.1636,-0.0937,1.3091,-1.4488
2024-05-16,0.1701,0.0246,0.1194,0.1743,0.0647,0.2638,0.9516,0.0,0.2643,0.31,0.2937,-0.1991
2024-05-17,0.0902,0.1142,-1.4862,0.348,0.1156,-1.1988,2.152,0.0,-0.0452,0.1173,-1.1381,1.3144
2024-05-18,0.2135,0.0552,-1.0125,0.2148,0.165,-0.8052,1.876,0.0,0.1111,0.278,-0.7977,0.9702
2024-05-19,0.2319,0.0651,-1.3556,0.1853,0.2128,-1.1301,1.9424,0.0,0.1673,0.231,-1.1703,1.3429
2024-05-20,0.2794,0.051,-1.7454,0.3935,0.2591,-1.4991,2.38,0.0,0.2732,0.4216,-1.3519,1.7582
2024-05-21,0.3564,0.061,-2.8301,0.3782,0.3039,-2.565,2.7632,0.0,0.3576,0.3624,-2.4519,2.8689
2024-05-22,0.5427,0.0711,-3.3639,0.5657,0.3471,-3.0859,3.2872,0.0,0.5021,0.6472,-2.7982,3.4331
2024-05-23,0.7376,0.0841,-4.5552,0.8849,0.3889,-4.2476,3.6696,0.0,0.5877,0.8099,-3.6704,4.6365
2024-05-24,0.8556,0.1152,-4.0222,1.1943,0.4293,-3.5719,3.9835,0.0,0.7883,1.0061,-2.8279,4.0012
2024-05-25,0.992,0.1357,-3.9762,1.2856,0.4682,-3.6064,4.3859,0.0,0.8467,1.2056,-2.6905,4.0746
2024-05-26,1.1818,0.1544,-3.0731,1.2823,0.5058,-2.6185,3.1745,0.0,1.0763,1.3871,-1.7908,3.1243
2024-05-27,1.0568,0.1576,-1.4452,1.1159,0.542,-1.0756,1.9082,0.0,0.9028,1.2999,-0.3292,1.6176
2024-05-28,1.1145,0.1533,-1.5281,0.9835,0.5768,-1.1168,0.8286,0.0,1.1288,1.3094,-0.5446,1.6936
2024-05-29,1.1069,0.0884,-0.6582,0.8106,0.6103,-0.1899,-0.8645,0.0,1.0672,1.3277,0.1524,0.8002
2024-05-30,1.1297,0.0594,-0.2299,0.7067,0.6425,0.2463,-0.5086,0.0,1.0746,1.3926,0.4768,0.3962
2024-05-31,0.9674,0.0243,-0.226,0.8102,0.6733,0.299,-0.3768,0.0,0.8688,1.1409,0.5842,0.3744
2024-06-01,0.289,-0.0667,1.946,-1.1139,-0.2526,1.2985,-1.6524,0.0,0.4082,0.2386,0.8321,-1.5511
2024-06-02,-0.0573,-0.0329,0.7608,-0.7575,-0.2242,0.2774,-0.3373,0.0,0.1424,-0.1377,0.0032,-0.5016
2024-06-03,-0.1617,-0.0468,1.9745,-0.9619,-0.1971,1.5663,-1.5924,0.0,0.0852,-0.4104,1.0126,-1.7634
2024-06-04,-0.0282,-0.1232,2.8695,-1.0149,-0.1712,2.451,-2.8413,0.0,0.2009,-0.268,1.8546,-2.6222
2024-06-05,-0.2003,-0.0782,2.1337,-0.7478,-0.1465,1.7983,-1.8376,0.0,-0.1235,-0.2397,1.386,-1.9448
2024-06-06,-0.3261,-0.0668,2.2031,-0.6637,-0.123,1.9428,-1.4746,0.0,-0.1162,-0.4845,1.5394,-2.0657
2024-06-07,-0.2355,-0.0527,0.8836,-0.7312,-0.1006,0.5385,-1.0393,0.0,-0.1117,-0.3825,0.1524,-0.6391
2024-06-08,-0.1877,-0.056,1.9108,-0.8803,-0.0794,1.4821,-1.8611,0.0,0.0037,-0.4743,1.0304,-1.5615
2024-06-09,0.1838,-0.0597,1.2387,-0.9347,-0.0594,0.8481,-1.6204,0.0,0.5498,-0.3286,0.304,-0.9075
2024-06-10,0.2928,-0.0553,0.927,-0.8462,-0.0405,0.5088,-0.525,0.0,0.4578,0.0152,0.0808,-0.5493
2024-06-11,0.377,-0.0333,0.2625,-0.6746,-0.0228,-0.1359,0.1182,0.0,0.5921,0.0609,-0.4121,0.1131
2024-06-12,0.3119,-0.0214,0.285,-0.597,-0.0062,-0.0463,-0.27,0.0,0.4601,0.1157,-0.312,0.0401
2024-06-13,0.382,-0.0463,1.6142,-0.7966,0.0093,1.3161,-1.4622,0.0,0.5376,0.1778,0.8176,-1.3068
2024-06-14,0.4146,-0.0535,2.9006,-0.8061,0.0236,2.7602,-2.5896,0.0,0.4884,0.3154,2.0945,-2.7366
2024-06-15,0.4858,-0.0741,3.3271,-0.8075,0.0368,3.2702,-3.0991,0.0,0.6872,0.2489,2.5196,-3.2334
2024-06-16,0.6566,-0.0654,3.7275,-0.7235,0.0489,3.7361,-2.7405,0.0,0.8785,0.3385,3.0041,-3.6872
2024-06-17,0.5936,-0.0271,3.0695,-0.4571,0.0599,3.225,-1.7233,0.0,0.6077,0.5148,2.6124,-3.1651
2024-06-18,0.2882,0.0077,2.077,-0.1403,0.0697,2.2713,-0.9582,0.0,0.2425,0.4149,1.9367,-2.2017
2024-06-19,-0.0651,0.0421,-0.0183,0.2884,0.0784,0.167,-0.0201,0.0,-0.1655,0.0938,0.27,-0.0886
2024-06-20,-0.3256,0.0363,-0.1837,0.5294,0.0859,0.0632,-0.2877,0.0,-0.5244,0.0469,0.3457,0.0227
